code,name,pinyin,pinyin_full,market
00467,联合能源集团,lhnyjt,lianhenengyuanjituan,港股
00468,纷美包装,fmbz,fenmeibaozhuang,港股
00470,先导智能,xdzn,xiandaozhineng,港股
00471,中播数据,zbsj,zhongboshuju,港股
00472,新丝路控股集团,xslkgjt,xinsilukonggujituan,港股
00474,信铭生命科技,xmsmkj,xinmingshengmingkeji,港股
00475,中发展控股,zfzkg,zhongfazhankonggu,港股
00476,科轩动力控股,kxdlkg,kexuandonglikonggu,港股
00480,香港兴业国际,xgxygj,xianggangxingyeguoji,港股
00482,圣马丁国际,smdgj,shengmadingguoji,港股
00483,包浩斯国际,bhsgj,baohaosiguoji,港股
00484,云游控股,yykg,yunyoukonggu,港股
00485,中国华星,zghx,zhongguohuaxing,港股
00486,俄铝,el,elv,港股
00487,实德环球,sdhq,shidehuanqiu,港股
00488,丽新发展,lxfz,lixinfazhan,港股
00491,英皇文化产业,yhwhcy,yinghuangwenhuachanye,港股
00493,国美零售,gmls,guomeilingshou,港股
00495,PALADIN,paladin,paladin,港股
00496,卡森国际,ksgj,kasenguoji,港股
00497,资本策略地产,zbcldc,zibencelvedichan,港股
00498,蓝河控股,lhkg,lanhekonggu,港股
00499,青岛控股,qdkg,qingdaokonggu,港股
00500,先丰服务集团,xffwjt,xianfengfuwujituan,港股
00501,豪威集团,hwjt,haoweijituan,港股
00505,兴业合金,xyhj,xingyehejin,港股
00506,中国食品,zgsp,zhongguoshipin,港股
00508,鼎亿集团投资,dyjttz,dingyijituantouzi,港股
00509,世纪阳光,sjyg,shijiyangguang,港股
00510,时富金融服务集团,sfjrfwjt,shifujinrongfuwujituan,港股
00511,电视广播,dsgb,dianshiguangbo,港股
00512,远大医药,ydyy,yuandayiyao,港股
00513,恒和集团,hhjt,henghejituan,港股
00515,中华银科技,zhykj,zhonghuayinkeji,港股
00517,中远海运国际,zyhygj,zhongyuanhaiyunguoji,港股
00518,同得仕（集团）,tds（jt）,tongdeshi（jituan）,港股
00519,诺科达科技,nkdkj,nuokedakeji,港股
00520,呷哺呷哺,gbgb,gabugabu,港股
00521,CWT INT'L,cwt int'l,cwt int'l,港股
00522,ASMPT,asmpt,asmpt,港股
00524,长城天下,cctx,changchengtianxia,港股
00525,广深铁路股份,gstlgf,guangshentielugufen,港股
00526,利时集团控股,lsjtkg,lishijituankonggu,港股
00527,瑞风新能源,rfxny,ruifengxinnengyuan,港股
00528,金达控股,jdkg,jindakonggu,港股
00529,SIS INT'L,sis int'l,sis int'l,港股
00532,WKK INTL (HOLD),wkk intl (hold),wkk intl (hold),港股
00533,金利来集团,jlljt,jinlilaijituan,港股
00535,金地商置,jdsz,jindishangzhi,港股
00536,贸易通,myt,maoyitong,港股
00538,味千（中国）,wq（zg）,weiqian（zhongguo）,港股
00540,迅捷环球控股,xjhqkg,xunjiehuanqiukonggu,港股
00542,中国文旅农业,zgwlny,zhongguowenlvnongye,港股
00543,太平洋网络,tpywl,taipingyangwangluo,港股
00544,大同集团,dtjt,datongjituan,港股
00546,阜丰集团,ffjt,fufengjituan,港股
00547,数字王国,szwg,shuziwangguo,港股
00548,深圳高速公路股份,szgsglgf,shenzhengaosugonglugufen,港股
00550,律齐文化,lqwh,lvqiwenhua,港股
